Model,AA,FM,BWT
ARF_HDDM_A,0.9899249999999998,0.00017500000000001404,0.002718749999999992
ARF_KSWIN,0.9895999999999999,0.00015000000000000568,0.001812499999999967
ARF_HDDM_W,0.98955,0.0004750000000000032,0.0024374999999999813
ARF_DDM,0.98935,0.00039999999999997817,0.0016875000000000362
ARF_None,0.9786249999999999,0.004049999999999998,-0.004687500000000011
ARF_ADWIN,0.9445500000000001,0.015449999999999986,-0.002312499999999995
ARF_PageHinkley,0.8927250000000001,0.03542500000000002,-0.03718750000000001
Static,0.873225,0.0,0.0
